iterationName,utterance,rt,target_type,competitor_type,target,foil,trial_type,trial_index,time_elapsed,anonymized_id
testing,SITTING PERSON,9568.99999966845,tangram,isolated,E1.jpg,F1.jpg,survey-text,5,62711,10
testing,sad,4939.7500000004075,tangram,isolated,B1.jpg,P1.jpg,survey-text,38,442530,21
testing,DANCING MAN,8712.999999988824,tangram,isolated,A1.jpg,A2.jpg,survey-text,6,71932,10
testing,up,9376.944999999949,tangram,isolated,F1.jpg,W1.jpg,survey-text,39,452427,21
testing,beg,6491.860000000102,tangram,isolated,H1.jpg,Y1.jpg,survey-text,40,459427,21
testing,SOMETHING FLYING,13733.00000000745,tangram,isolated,F1.jpg,W1.jpg,survey-text,7,86169,10
testing,STANDING PERSON,9787.999999709427,tangram,isolated,K1.jpg,T1.jpg,survey-text,8,96461,10
testing,running,12183.740000000398,tangram,isolated,A1.jpg,A2.jpg,survey-text,41,472132,21
testing,SITTING WOMAN,6306.000000331551,tangram,isolated,G1.jpg,M1.jpg,survey-text,9,103271,10
testing,jump,5987.134999999427,tangram,isolated,E1.jpg,F1.jpg,survey-text,42,478625,21
testing,NA,3695.9999999962747,NA,NA,NA,NA,html-button-response,10,107471,10
testing,sit,6136.304999999993,tangram,isolated,G1.jpg,M1.jpg,survey-text,43,485270,21
testing,CAR,6694.00000013411,familiar,close,sedan.jpg,sportscar.jpg,survey-text,11,114668,10
testing,beg,6768.160000000498,tangram,isolated,I1.jpg,J1.jpg,survey-text,44,492558,21
testing,GOLDEN FISH,7236.000000033528,familiar,close,goldfish.jpg,swordfish.jpg,survey-text,12,122412,10
testing,lean,6141.604999999807,tangram,isolated,K1.jpg,T1.jpg,survey-text,45,499221,21
testing,NA,1703.8750000001164,NA,NA,NA,NA,html-button-response,46,501438,21
testing,BIRD,4771.999999880791,familiar,close,sparrow.jpg,eagle.jpg,survey-text,13,127694,10
testing,BEAR,4189.000000245869,familiar,close,grizzlybear.jpg,polarbear.jpg,survey-text,14,132396,10
testing,sad,10095.115000000049,tangram,far,B1.jpg,O1.jpg,survey-text,47,512048,21
testing,DOG,4905.00000026077,familiar,close,germanshepherd.jpg,pug.jpg,survey-text,15,137814,10
testing,lean,6724.355000000272,tangram,far,K1.jpg,V1.jpg,survey-text,48,519316,21
testing,T SHIRT,8172.00000025332,familiar,close,poloshirt.jpg,hawaiishirt.jpg,survey-text,16,146495,10
testing,beg,6562.264999999548,tangram,far,H1.jpg,A2.jpg,survey-text,49,526393,21
testing,CANDY,5808.000000193715,familiar,close,mnms.jpg,gummybears.jpg,survey-text,17,152810,10
testing,TABLE,4699.999999720603,familiar,close,diningtable.jpg,picnictable.jpg,survey-text,18,158011,10
testing,donate,13276.469999999856,tangram,far,I1.jpg,R1.jpg,survey-text,50,540180,21
testing,NA,6557.000000029802,NA,NA,NA,NA,html-button-response,19,165071,10
testing,CANDY,4072.0000001601875,familiar,isolated,mnms.jpg,gummybears.jpg,survey-text,20,169653,10
testing,BEAR,3547.0000002533197,familiar,isolated,grizzlybear.jpg,polarbear.jpg,survey-text,21,173708,10
testing,relax,9211.540000000154,tangram,far,G1.jpg,N1.jpg,survey-text,51,549900,21
testing,T SHIRT,4125,familiar,isolated,poloshirt.jpg,hawaiishirt.jpg,survey-text,22,178351,10
testing,CAR,2635.9999999403954,familiar,isolated,sedan.jpg,sportscar.jpg,survey-text,23,181495,10
testing,DOG,3245.99999981001,familiar,isolated,germanshepherd.jpg,pug.jpg,survey-text,24,185249,10
testing,leap,12252.740000000806,tangram,far,F1.jpg,C1.jpg,survey-text,52,562670,21
testing,BIRD,2934.000000357628,familiar,isolated,sparrow.jpg,eagle.jpg,survey-text,25,188691,10
testing,TABLE,4854.000000283122,familiar,isolated,diningtable.jpg,picnictable.jpg,survey-text,26,194049,10
testing,run,6770.035000000382,tangram,far,A1.jpg,D1.jpg,survey-text,53,569953,21
